,Compound Score,Negative Score,Neutral Score,Outlet,Positive Score,Tweets Ago
0,0.5106,0.0,0.852,@BBCWorld,0.148,1
1,-0.7269,0.504,0.496,@BBCWorld,0.0,2
2,-0.3612,0.192,0.688,@BBCWorld,0.12,3
3,-0.5994,0.151,0.849,@BBCWorld,0.0,4
4,-0.6808,0.195,0.805,@BBCWorld,0.0,5
5,-0.2023,0.205,0.795,@BBCWorld,0.0,6
6,-0.743,0.422,0.578,@BBCWorld,0.0,7
7,0.0,0.0,1.0,@BBCWorld,0.0,8
8,0.0,0.0,1.0,@BBCWorld,0.0,9
9,0.0,0.0,1.0,@BBCWorld,0.0,10
10,0.0,0.0,1.0,@BBCWorld,0.0,11
11,-0.5994,0.394,0.606,@BBCWorld,0.0,12
12,0.2023,0.0,0.859,@BBCWorld,0.141,13
13,-0.6705,0.208,0.792,@BBCWorld,0.0,14
14,0.4939,0.0,0.758,@BBCWorld,0.242,15
15,0.0,0.0,1.0,@BBCWorld,0.0,16
16,0.0,0.0,1.0,@BBCWorld,0.0,17
17,0.4767,0.0,0.744,@BBCWorld,0.256,18
18,-0.1531,0.138,0.862,@BBCWorld,0.0,19
19,0.0,0.0,1.0,@BBCWorld,0.0,20
20,0.5106,0.0,0.852,@BBCWorld,0.148,21
21,-0.7269,0.504,0.496,@BBCWorld,0.0,22
22,-0.3612,0.192,0.688,@BBCWorld,0.12,23
23,-0.5994,0.151,0.849,@BBCWorld,0.0,24
24,-0.6808,0.195,0.805,@BBCWorld,0.0,25
25,-0.2023,0.205,0.795,@BBCWorld,0.0,26
26,-0.743,0.422,0.578,@BBCWorld,0.0,27
27,0.0,0.0,1.0,@BBCWorld,0.0,28
28,0.0,0.0,1.0,@BBCWorld,0.0,29
29,0.0,0.0,1.0,@BBCWorld,0.0,30
30,0.0,0.0,1.0,@BBCWorld,0.0,31
31,-0.5994,0.394,0.606,@BBCWorld,0.0,32
32,0.2023,0.0,0.859,@BBCWorld,0.141,33
33,-0.6705,0.208,0.792,@BBCWorld,0.0,34
34,0.4939,0.0,0.758,@BBCWorld,0.242,35
35,0.0,0.0,1.0,@BBCWorld,0.0,36
36,0.0,0.0,1.0,@BBCWorld,0.0,37
37,0.4767,0.0,0.744,@BBCWorld,0.256,38
38,-0.1531,0.138,0.862,@BBCWorld,0.0,39
39,0.0,0.0,1.0,@BBCWorld,0.0,40
40,-0.2023,0.153,0.847,@BBCWorld,0.0,41
41,0.2023,0.0,0.795,@BBCWorld,0.205,42
42,0.0,0.0,1.0,@BBCWorld,0.0,43
43,-0.7003,0.444,0.556,@BBCWorld,0.0,44
44,0.0,0.0,1.0,@BBCWorld,0.0,45
45,-0.7003,0.492,0.508,@BBCWorld,0.0,46
46,-0.2023,0.141,0.859,@BBCWorld,0.0,47
47,-0.4588,0.345,0.412,@BBCWorld,0.242,48
48,0.0,0.0,1.0,@BBCWorld,0.0,49
49,0.0,0.0,1.0,@BBCWorld,0.0,50
50,0.0,0.0,1.0,@BBCWorld,0.0,51
51,0.0,0.0,1.0,@BBCWorld,0.0,52
52,0.0,0.0,1.0,@BBCWorld,0.0,53
53,-0.7964,0.47,0.53,@BBCWorld,0.0,54
54,0.0,0.0,1.0,@BBCWorld,0.0,55
55,-0.7184,0.24,0.76,@BBCWorld,0.0,56
56,0.0,0.0,1.0,@BBCWorld,0.0,57
57,-0.6808,0.365,0.635,@BBCWorld,0.0,58
58,-0.5994,0.328,0.672,@BBCWorld,0.0,59
59,-0.0258,0.189,0.629,@BBCWorld,0.182,60
60,0.0,0.0,1.0,@BBCWorld,0.0,61
61,-0.765,0.423,0.577,@BBCWorld,0.0,62
62,0.0,0.0,1.0,@BBCWorld,0.0,63
63,-0.296,0.196,0.804,@BBCWorld,0.0,64
64,-0.5423,0.28,0.72,@BBCWorld,0.0,65
65,0.0,0.0,1.0,@BBCWorld,0.0,66
66,-0.2263,0.174,0.826,@BBCWorld,0.0,67
67,0.0,0.0,1.0,@BBCWorld,0.0,68
68,-0.0191,0.054,0.946,@BBCWorld,0.0,69
69,0.0,0.0,1.0,@BBCWorld,0.0,70
70,-0.4215,0.237,0.763,@BBCWorld,0.0,71
71,0.0,0.0,1.0,@BBCWorld,0.0,72
72,-0.4588,0.13,0.87,@BBCWorld,0.0,73
73,0.0772,0.198,0.579,@BBCWorld,0.223,74
74,-0.6908,0.37,0.63,@BBCWorld,0.0,75
75,-0.4404,0.367,0.633,@BBCWorld,0.0,76
76,-0.2778,0.275,0.535,@BBCWorld,0.19,77
77,0.0,0.0,1.0,@BBCWorld,0.0,78
78,0.0,0.0,1.0,@BBCWorld,0.0,79
79,0.0,0.0,1.0,@BBCWorld,0.0,80
